sepal_length,sepal_width,petal_length,petal_width,class
,,1.4,0.2,True
4.7,3.2,1.3,0.2,True
,3.1,1.5,0.2,True
5.0,3.6,,0.2,True
5.4,3.9,1.7,0.4,True
4.6,3.4,1.4,0.3,True
5.0,3.4,1.5,0.2,True
4.4,2.9,1.4,,True
,3.1,1.5,0.1,True
5.4,3.7,1.5,0.2,True
4.8,3.4,1.6,0.2,True
4.8,3.0,1.4,0.1,True
,,1.1,0.1,True
5.8,4.0,1.2,0.2,True
,4.4,,0.4,True
5.4,3.9,1.3,0.4,True
5.1,3.5,1.4,0.3,True
5.7,3.8,1.7,0.3,True
,3.8,,0.3,True
5.4,3.4,1.7,0.2,True
5.1,3.7,,0.4,True
,,1.0,0.2,True
5.1,3.3,1.7,0.5,True
4.8,3.4,1.9,0.2,True
5.0,3.0,1.6,0.2,True
,3.4,1.6,0.4,True
5.2,3.5,1.5,0.2,True
5.2,,1.4,0.2,True
4.7,3.2,1.6,0.2,True
4.8,3.1,,0.2,True
5.4,3.4,,,True
5.2,4.1,1.5,0.1,True
5.5,4.2,1.4,0.2,True
,3.1,1.5,0.1,True
5.0,3.2,1.2,0.2,True
5.5,3.5,1.3,0.2,True
4.9,3.1,,0.1,True
,3.0,1.3,0.2,True
,3.4,1.5,,True
5.0,3.5,1.3,0.3,True
4.5,,1.3,,True
4.4,3.2,1.3,,True
5.0,3.5,1.6,0.6,True
,3.8,,0.4,True
4.8,3.0,1.4,0.3,True
5.1,,1.6,0.2,True
4.6,3.2,1.4,0.2,True
5.3,3.7,1.5,0.2,True
,3.3,1.4,,True
7.0,3.2,4.7,1.4,False
6.4,3.2,4.5,1.5,False
6.9,3.1,4.9,1.5,False
5.5,,,1.3,False
6.5,2.8,4.6,,False
5.7,,4.5,1.3,False
6.3,3.3,4.7,,False
4.9,2.4,3.3,1.0,False
6.6,2.9,4.6,1.3,False
,2.7,3.9,1.4,False
5.0,2.0,3.5,1.0,False
5.9,3.0,4.2,1.5,False
6.0,2.2,4.0,1.0,False
6.1,2.9,4.7,1.4,False
,2.9,3.6,1.3,False
6.7,3.1,4.4,1.4,False
5.6,3.0,4.5,1.5,False
5.8,,4.1,1.0,False
6.2,2.2,4.5,1.5,False
5.6,,3.9,1.1,False
5.9,3.2,4.8,1.8,False
6.1,2.8,4.0,,False
,2.5,4.9,,False
6.1,2.8,4.7,,False
6.4,2.9,4.3,,False
6.6,3.0,,1.4,False
,2.8,,1.4,False
,3.0,5.0,1.7,False
6.0,,,1.5,False
5.7,,3.5,1.0,False
,2.4,3.8,,False
5.5,2.4,3.7,1.0,False
5.8,2.7,3.9,1.2,False
6.0,2.7,,1.6,False
5.4,3.0,,1.5,False
6.0,3.4,4.5,1.6,False
6.7,3.1,4.7,,False
6.3,2.3,,1.3,False
,3.0,4.1,1.3,False
5.5,,4.0,1.3,False
5.5,2.6,4.4,1.2,False
6.1,,,1.4,False
5.8,2.6,4.0,1.2,False
5.0,2.3,3.3,,False
,2.7,4.2,1.3,False
5.7,3.0,4.2,1.2,False
5.7,2.9,4.2,1.3,False
6.2,2.9,4.3,,False
5.1,2.5,3.0,1.1,False
5.7,,4.1,1.3,False
6.3,,6.0,2.5,False
5.8,2.7,5.1,1.9,False
7.1,3.0,5.9,2.1,False
6.3,,5.6,1.8,False
6.5,,5.8,2.2,False
7.6,3.0,6.6,,False
4.9,2.5,4.5,1.7,False
7.3,,6.3,1.8,False
6.7,,5.8,1.8,False
7.2,3.6,6.1,2.5,False
6.5,3.2,5.1,2.0,False
,,5.3,1.9,False
6.8,3.0,,2.1,False
5.7,,5.0,2.0,False
5.8,2.8,5.1,2.4,False
6.4,3.2,5.3,2.3,False
6.5,3.0,5.5,,False
7.7,3.8,6.7,2.2,False
7.7,2.6,6.9,2.3,False
6.0,2.2,5.0,,False
6.9,3.2,5.7,2.3,False
5.6,,4.9,2.0,False
7.7,2.8,6.7,2.0,False
6.3,2.7,4.9,1.8,False
6.7,3.3,,2.1,False
7.2,3.2,,1.8,False
6.2,,4.8,1.8,False
,3.0,4.9,1.8,False
6.4,2.8,,2.1,False
7.2,,5.8,,False
,2.8,6.1,1.9,False
7.9,3.8,6.4,2.0,False
,,5.6,2.2,False
6.3,2.8,5.1,1.5,False
6.1,2.6,5.6,1.4,False
7.7,3.0,6.1,2.3,False
6.3,3.4,5.6,2.4,False
6.4,3.1,,1.8,False
,3.0,,1.8,False
6.9,3.1,5.4,2.1,False
6.7,3.1,5.6,2.4,False
6.9,3.1,5.1,2.3,False
5.8,2.7,5.1,1.9,False
6.8,,5.9,2.3,False
6.7,3.3,5.7,2.5,False
6.7,,5.2,,False
6.3,2.5,5.0,1.9,False
6.5,3.0,5.2,,False
6.2,3.4,5.4,2.3,False
5.9,,5.1,,False
