Dataset,method,Experiment,RMSE
1_breast,datawig,1,0.5829 ± 0.0000
1_breast,datawig,2,0.5696 ± 0.0134
1_breast,datawig,3,0.5924 ± 0.0341
1_breast,datawig,4,0.5748 ± 0.0424
1_breast,datawig,5,0.5444 ± 0.0716
1_breast,datawig,6,0.5507 ± 0.0668
1_breast,datawig,7,0.5610 ± 0.0669
1_breast,datawig,8,0.5593 ± 0.0627
1_breast,datawig,9,0.5559 ± 0.0599
1_breast,datawig,10,0.5527 ± 0.0577
1_breast,datawig,11,0.5552 ± 0.0556
1_breast,datawig,12,0.5645 ± 0.0614
1_breast,datawig,13,0.5621 ± 0.0596
1_breast,datawig,14,0.5697 ± 0.0637
1_breast,datawig,15,0.5704 ± 0.0616
1_breast,datawig,16,0.5759 ± 0.0633
1_breast,datawig,17,0.5692 ± 0.0670
1_breast,datawig,18,0.5690 ± 0.0651
1_breast,datawig,19,0.5676 ± 0.0637
1_breast,datawig,20,0.5693 ± 0.0625
1_breast,datawig,21,0.5653 ± 0.0636
1_breast,datawig,22,0.5656 ± 0.0621
1_breast,datawig,23,0.5624 ± 0.0627
1_breast,datawig,24,0.5574 ± 0.0659
1_breast,datawig,25,0.5582 ± 0.0647
1_breast,datawig,26,0.5576 ± 0.0635
1_breast,datawig,27,0.5590 ± 0.0627
1_breast,datawig,28,0.5597 ± 0.0617
1_breast,datawig,29,0.5608 ± 0.0609
1_breast,datawig,30,0.5617 ± 0.0601
1_breast,multi,1,0.7009 ± 0.0000
1_breast,multi,2,0.6749 ± 0.0260
1_breast,multi,3,0.6750 ± 0.0212
1_breast,multi,4,0.6428 ± 0.0588
1_breast,multi,5,0.6327 ± 0.0563
1_breast,multi,6,0.6420 ± 0.0554
1_breast,multi,7,0.6449 ± 0.0518
1_breast,multi,8,0.6401 ± 0.0500
1_breast,multi,9,0.6426 ± 0.0477
1_breast,multi,10,0.6432 ± 0.0453
1_breast,multi,11,0.6372 ± 0.0471
1_breast,multi,12,0.6310 ± 0.0497
1_breast,multi,13,0.6291 ± 0.0482
1_breast,multi,14,0.6265 ± 0.0474
1_breast,multi,15,0.6200 ± 0.0517
1_breast,multi,16,0.6227 ± 0.0511
1_breast,multi,17,0.6273 ± 0.0529
1_breast,multi,18,0.6314 ± 0.0541
1_breast,multi,19,0.6308 ± 0.0527
1_breast,multi,20,0.6324 ± 0.0518
1_breast,multi,21,0.6305 ± 0.0513
1_breast,multi,22,0.6307 ± 0.0501
1_breast,multi,23,0.6338 ± 0.0511
1_breast,multi,24,0.6294 ± 0.0541
1_breast,multi,25,0.6280 ± 0.0535
1_breast,multi,26,0.6298 ± 0.0533
1_breast,multi,27,0.6241 ± 0.0597
1_breast,multi,28,0.6255 ± 0.0590
1_breast,multi,29,0.6263 ± 0.0582
1_breast,multi,30,0.6288 ± 0.0587
1_breast,knn,1,0.7873 ± 0.0000
1_breast,knn,2,0.7204 ± 0.0670
1_breast,knn,3,0.7171 ± 0.0549
1_breast,knn,4,0.7151 ± 0.0477
1_breast,knn,5,0.6906 ± 0.0650
1_breast,knn,6,0.6941 ± 0.0599
1_breast,knn,7,0.6889 ± 0.0569
1_breast,knn,8,0.6830 ± 0.0555
1_breast,knn,9,0.6790 ± 0.0535
1_breast,knn,10,0.6791 ± 0.0507
1_breast,knn,11,0.6885 ± 0.0568
1_breast,knn,12,0.6932 ± 0.0566
1_breast,knn,13,0.6956 ± 0.0550
1_breast,knn,14,0.7047 ± 0.0622
1_breast,knn,15,0.7109 ± 0.0645
1_breast,knn,16,0.7224 ± 0.0766
1_breast,knn,17,0.7186 ± 0.0758
1_breast,knn,18,0.7224 ± 0.0754
1_breast,knn,19,0.7152 ± 0.0795
1_breast,knn,20,0.7222 ± 0.0833
1_breast,knn,21,0.7252 ± 0.0823
1_breast,knn,22,0.7237 ± 0.0807
1_breast,knn,23,0.7200 ± 0.0808
1_breast,knn,24,0.7158 ± 0.0816
1_breast,knn,25,0.7148 ± 0.0801
1_breast,knn,26,0.7172 ± 0.0795
1_breast,knn,27,0.7166 ± 0.0781
1_breast,knn,28,0.7136 ± 0.0783
1_breast,knn,29,0.7172 ± 0.0794
1_breast,knn,30,0.7140 ± 0.0800
